Codigo,Produto,Preco
BS001873,Apple Lightning Cable,$21.99
BS001874,SanDisk Extreme microSDXC,$31.50
BS001875,Seagate 2TB Expansion Portable HDD,$79.00
BS001876,TicWatch Pro 3 Ultra GPS Smartwatch Qualcomm,$399.00
BS001877,Webcam HD 1080p Web Camera,$59.00
BS001878,Logitech MK270R Wireless Keyboard and Mouse Combo,$38.00
BS001879,Samsung T37F Monitor UHD 37,$299.00
BS001880,HyperX QuadCast S – RGB USB Condenser Microphone for PC,$213.00
BS001881,TP-Link Tapo Pan/Tilt Smart Security Camera,$66.43
BS001882,"HEYMIX Powerboard, Power Strip with 8 Outlets, Surge Protector with 4 USB",$52.49
BS001883,Apple AirPods Pro,$309.00
BS001884,Digital Blood Pressure Monitor with Large Colour Screen,$49.95
BS001885,"Fingertip Pulse Oximeter, Blood Oxygen Saturation",$21.99
BS001886,Withings BPM Connect Wireless Blood Pressure Monitor,$179.00
BS001887,LEGO Ideas 21319 Central Perk Building Kit,$69.00
BS001888,LEGO Ideas Home Alone McCallisters’ House 21330,$449.00
BS001889, Taco Cat Goat Cheese Pizza Card Game,$14.99
BS001890,Nintendo Switch Console Lite,$329.95
BS001891,PHILIPS Sonicare 9900 Prestige Power Toothbrush,$329.00
BS001892,Kindle Paperwhite (8GB),$239.00
BS001893,Apple Lightning to 3.5mm Headphone Jack Adapter,$14.00
BS001894,Sony WH1000XM4 Noise Canceling Wireless Headphones ,$385.00
BS001895,Google Chromecast 3rd Generation,$55.00
BS001896,Charmast Mini Power Bank,$37.99
BS001897,New Apple AirTag 4 Pack,$149.00
BS001898,Apple AirPods (3rd Generation),$257.00
BS001899,Apple MagSafe Charger,$57.00
BS001900,YABER WiFi Projector Mini Portable Projector 6000 Lumen 1080P,$218.00
BS001901,LG 29WL50S - 29 inch UltraWide UHD,$279.00
